bird,province,pro_cnt
鹌鹑,上海市,93
鹌鹑,江苏省,55
鹌鹑,浙江省,23
鹌鹑,福建省,18
鹌鹑,安徽省,7
鹌鹑,山东省,5
鹌鹑,江西省,4
鹌鹑,北京市,1
鹌鹑,河北省,1
鹌鹑,广东省,1
暗灰鹃鵙,江苏省,53
暗灰鹃鵙,上海市,51
暗灰鹃鵙,福建省,33
暗灰鹃鵙,浙江省,32
暗灰鹃鵙,安徽省,25
暗灰鹃鵙,江西省,6
暗灰鹃鵙,山东省,2
暗灰鹃鵙,河南省,2
暗灰鹃鵙,海南省,2
暗灰鹃鵙,云南省,2
暗灰鹃鵙,重庆市,1
暗灰鹃鵙,广东省,1
暗灰鹃鵙,广西壮族自治区,1
暗绿背鸬鹚,浙江省,18
暗绿背鸬鹚,山东省,9
暗绿背鸬鹚,上海市,6
暗绿背鸬鹚,江苏省,3
暗绿背鸬鹚,广东省,1
暗绿柳莺,青海省,15
暗绿柳莺,上海市,4
暗绿柳莺,福建省,4
暗绿柳莺,四川省,2
暗绿柳莺,浙江省,1
暗绿柳莺,甘肃省,1
暗绿绣眼鸟,福建省,1175
暗绿绣眼鸟,上海市,970
暗绿绣眼鸟,江苏省,750
暗绿绣眼鸟,浙江省,718
暗绿绣眼鸟,安徽省,84
暗绿绣眼鸟,江西省,50
暗绿绣眼鸟,广东省,36
暗绿绣眼鸟,山东省,29
暗绿绣眼鸟,贵州省,15
暗绿绣眼鸟,云南省,15
暗绿绣眼鸟,海南省,13
暗绿绣眼鸟,广西壮族自治区,6
暗绿绣眼鸟,湖南省,6
暗绿绣眼鸟,重庆市,4
暗绿绣眼鸟,湖北省,2
暗绿绣眼鸟,河南省,2
暗绿绣眼鸟,四川省,2
暗绿绣眼鸟,北京市,1
暗冕山鹪莺,云南省,8
暗冕山鹪莺,广西壮族自治区,1
暗胸朱雀,四川省,3
暗胸朱雀,云南省,1
八哥,上海市,2564
八哥,江苏省,2027
八哥,福建省,1086
八哥,浙江省,957
八哥,江西省,237
八哥,安徽省,222
八哥,山东省,71
八哥,广东省,19
八哥,湖南省,13
八哥,四川省,12
八哥,海南省,11
八哥,河南省,8
八哥,云南省,7
八哥,湖北省,4
八哥,北京市,3
八哥,重庆市,2
八哥,贵州省,2
八哥,陕西省,1
八哥,广西壮族自治区,1
八哥,宁夏回族自治区,1
八声杜鹃,福建省,256
八声杜鹃,云南省,10
八声杜鹃,广东省,10
八声杜鹃,浙江省,7
八声杜鹃,江西省,2
八声杜鹃,贵州省,1
八声杜鹃,上海市,1
八声杜鹃,广西壮族自治区,1
白斑翅拟蜡嘴雀,青海省,3
白斑翅拟蜡嘴雀,四川省,2
白斑翅拟蜡嘴雀,西藏自治区,1
白斑军舰鸟,浙江省,4
白斑军舰鸟,上海市,3
白斑军舰鸟,福建省,2
白斑军舰鸟,江苏省,1
白斑尾柳莺,福建省,6
白斑尾柳莺,贵州省,5
白斑尾柳莺,四川省,2
白斑尾柳莺,江西省,2
白斑尾柳莺,浙江省,1
白背矶鸫,青海省,3
白背兀鹫,内蒙古自治区,1
白背啄木鸟,四川省,10
白背啄木鸟,福建省,3
白背啄木鸟,江西省,2
白背啄木鸟,内蒙古自治区,1
白翅浮鸥,上海市,139
白翅浮鸥,江苏省,104
白翅浮鸥,浙江省,60
白翅浮鸥,福建省,37
白翅浮鸥,山东省,31
白翅浮鸥,青海省,5
白翅浮鸥,江西省,4
白翅浮鸥,安徽省,4
白翅浮鸥,内蒙古自治区,2
白翅蓝鹊,广西壮族自治区,3
白翅栖鸭,浙江省,1
白顶溪鸲,四川省,32
白顶溪鸲,青海省,20
白顶溪鸲,福建省,7
白顶溪鸲,云南省,5
白顶溪鸲,北京市,4
白顶溪鸲,安徽省,4
白顶溪鸲,江西省,3
白顶溪鸲,湖北省,1
白顶溪鸲,甘肃省,1
白顶溪鸲,山东省,1
白顶溪鸲,上海市,1
白顶玄燕鸥,上海市,5
白顶玄燕鸥,浙江省,2
白顶玄燕鸥,广东省,1
白顶玄燕鸥,江苏省,1
白额鹱,山东省,4
白额鹱,江苏省,3
白额鹱,浙江省,2
白额鹱,广东省,1
白额鹱,福建省,1
白额雁,江西省,57
白额雁,浙江省,55
白额雁,江苏省,51
白额雁,福建省,31
白额雁,上海市,17
白额雁,安徽省,13
白额雁,山东省,11
白额雁,内蒙古自治区,1
白额雁,北京市,1
白额燕鸥,福建省,206
白额燕鸥,上海市,118
白额燕鸥,江苏省,72
白额燕鸥,浙江省,50
白额燕鸥,山东省,31
白额燕鸥,江西省,4
白额燕鸥,安徽省,1
白额燕鸥,广东省,1
白腹鸫,上海市,1433
白腹鸫,福建省,280
白腹鸫,江苏省,279
白腹鸫,浙江省,251
白腹鸫,江西省,9
白腹鸫,山东省,7
白腹鸫,安徽省,6
白腹鸫,广东省,2
白腹短翅鸲,甘肃省,1
白腹短翅鸲,河北省,1
白腹凤鹛,福建省,253
白腹凤鹛,浙江省,33
白腹凤鹛,云南省,11
白腹凤鹛,江西省,3
白腹凤鹛,广西壮族自治区,2
白腹凤鹛,海南省,2
白腹凤鹛,四川省,1
白腹海雕,内蒙古自治区,1
白腹锦鸡,四川省,1
白腹锦鸡,上海市,1
白腹蓝鹟,上海市,324
白腹蓝鹟,福建省,86
白腹蓝鹟,江苏省,80
白腹蓝鹟,浙江省,54
白腹蓝鹟,山东省,4
白腹蓝鹟,广东省,3
白腹蓝鹟,江西省,3
白腹蓝鹟,安徽省,3
白腹蓝鹟,湖南省,1
白腹蓝鹟,广西壮族自治区,1
白腹鹭,上海市,1
白腹毛脚燕,江苏省,4
白腹毛脚燕,浙江省,3
白腹毛脚燕,福建省,2
白腹毛脚燕,山东省,1
白腹隼雕,福建省,32
白腹隼雕,浙江省,17
白腹隼雕,安徽省,2
白腹隼雕,云南省,1
白腹隼雕,江苏省,1
白腹隼雕,江西省,1
白腹隼雕,内蒙古自治区,1
白腹鹞,上海市,344
白腹鹞,江苏省,147
白腹鹞,浙江省,108
白腹鹞,江西省,39
白腹鹞,山东省,37
白腹鹞,福建省,23
白腹鹞,广西壮族自治区,4
白腹鹞,云南省,3
白腹鹞,内蒙古自治区,2
白腹鹞,湖北省,2
白腹鹞,安徽省,2
白腹鹞,广东省,1
白腹鹞,宁夏回族自治区,1
白冠长尾雉,安徽省,6
白冠长尾雉,河南省,4
白冠长尾雉,内蒙古自治区,1
白冠燕尾,浙江省,225
白冠燕尾,福建省,154
白冠燕尾,江苏省,82
白冠燕尾,安徽省,28
白冠燕尾,江西省,27
白冠燕尾,四川省,14
白冠燕尾,贵州省,13
白冠燕尾,河南省,9
白冠燕尾,湖北省,4
白冠燕尾,海南省,4
白冠燕尾,云南省,3
白冠燕尾,上海市,2
白冠燕尾,重庆市,1
白冠燕尾,湖南省,1
白冠噪鹛,云南省,7
白鹳,安徽省,1
白鹤,江西省,94
白鹤,浙江省,21
白鹤,山东省,19
白鹤,福建省,8
白鹤,江苏省,8
白鹤,安徽省,4
白鹤,内蒙古自治区,1
白喉斑秧鸡,海南省,1
白喉斑秧鸡,广东省,1
白喉斑秧鸡,浙江省,1
白喉短翅鸫,福建省,52
白喉短翅鸫,广东省,6
白喉短翅鸫,云南省,2
白喉短翅鸫,安徽省,2
白喉冠鹎,云南省,7
白喉冠鹎,海南省,6
白喉冠鹎,广西壮族自治区,3
白喉红臀鹎,福建省,571
白喉红臀鹎,云南省,63
白喉红臀鹎,江西省,24
白喉红臀鹎,广东省,18
白喉红臀鹎,上海市,8
白喉红臀鹎,广西壮族自治区,6
白喉红臀鹎,海南省,5
白喉红臀鹎,贵州省,1
白喉红臀鹎,陕西省,1
白喉红臀鹎,湖南省,1
白喉红臀鹎,浙江省,1
白喉红尾鸲,青海省,10
白喉红尾鸲,四川省,5
白喉红尾鸲,甘肃省,2
白喉红尾鸲,上海市,1
白喉红尾鸲,西藏自治区,1
