section,species,bird
鸨形目,鸨科,波斑鸨
鸨形目,鸨科,大鸨
鸨形目,鸨科,小鸨
佛法僧目,翠鸟科,白领翡翠
佛法僧目,翠鸟科,白胸翡翠
佛法僧目,翠鸟科,斑头大翠鸟
佛法僧目,翠鸟科,斑鱼狗
佛法僧目,翠鸟科,赤翡翠
佛法僧目,翠鸟科,冠鱼狗
佛法僧目,翠鸟科,鹳嘴翡翠
佛法僧目,翠鸟科,蓝耳翠鸟
佛法僧目,翠鸟科,蓝翡翠
佛法僧目,翠鸟科,普通翠鸟
佛法僧目,翠鸟科,三趾翠鸟
佛法僧目,蜂虎科,彩虹蜂虎
佛法僧目,蜂虎科,黄喉蜂虎
佛法僧目,蜂虎科,蓝喉蜂虎
佛法僧目,蜂虎科,蓝颊蜂虎
佛法僧目,蜂虎科,蓝须夜蜂虎
佛法僧目,蜂虎科,栗头蜂虎
佛法僧目,蜂虎科,绿喉蜂虎
佛法僧目,佛法僧科,蓝胸佛法僧
佛法僧目,佛法僧科,三宝鸟
佛法僧目,佛法僧科,棕胸佛法僧
鸽形目,鸠鸽科,斑尾鹃鸠
鸽形目,鸠鸽科,斑尾林鸽
鸽形目,鸠鸽科,橙胸绿鸠
鸽形目,鸠鸽科,点斑林鸽
鸽形目,鸠鸽科,菲律宾鹃鸠
鸽形目,鸠鸽科,黑颏果鸠
鸽形目,鸠鸽科,黑林鸽
鸽形目,鸠鸽科,红翅绿鸠
鸽形目,鸠鸽科,红顶绿鸠
鸽形目,鸠鸽科,厚嘴绿鸠
鸽形目,鸠鸽科,黄脚绿鸠
鸽形目,鸠鸽科,灰斑鸠
鸽形目,鸠鸽科,灰林鸽
鸽形目,鸠鸽科,灰头绿鸠
鸽形目,鸠鸽科,火斑鸠
鸽形目,鸠鸽科,绿翅金鸠
鸽形目,鸠鸽科,绿皇鸠
鸽形目,鸠鸽科,欧斑鸠
鸽形目,鸠鸽科,欧鸽
鸽形目,鸠鸽科,山斑鸠
鸽形目,鸠鸽科,山皇鸠
鸽形目,鸠鸽科,小鹃鸠
鸽形目,鸠鸽科,楔尾绿鸠
鸽形目,鸠鸽科,雪鸽
鸽形目,鸠鸽科,岩鸽
鸽形目,鸠鸽科,原鸽
鸽形目,鸠鸽科,针尾绿鸠
鸽形目,鸠鸽科,中亚鸽
鸽形目,鸠鸽科,珠颈斑鸠
鸽形目,鸠鸽科,紫林鸽
鸽形目,鸠鸽科,棕斑鸠
鹳形目,鹳科,白鹳
鹳形目,鹳科,白颈鹳
鹳形目,鹳科,彩鹳
鹳形目,鹳科,东方白鹳
鹳形目,鹳科,黑鹳
